label,y,se,id
School of One,-0.02,0.1,DEV08
Boston Teacher Residency (BTR),0.01,0.06,DEV09
G2ROW STEM,0.4,0.12,DEV104
STEM Learning Opportunities Providing Equity (SLOPE),-0.08,0.05,DEV11
Rural Math Innovation Network (RMIN),-0.17,0.21,DEV115
Everyday Arts for Special Education (EASE),0.05,1.43,DEV13
Innovations in Early Mathematics,-0.07,0.06,DEV15
Rio Grande Valley Center for Teaching and Leading Excellence: New Teacher Training (NTT),-0.08,0.05,DEV18
Schools to Watch (STW): School Transformation Network Project,-0.14,0.09,DEV23
New England Network for Personalization and Performance (NETWORK),0.06,0.1,DEV24
Florida Master Teacher Initiative (FMTI),-0.04,0.04,DEV26
Accelerating Academic Achievement in Appalachian Kentucky (A4KY),-0.01,0.07,DEV31
"Texas Tech University ""Tech Teach"" Program",-0.13,0.12,DEV34
InnovateNYC Ecosystem,0.07,0.08,DEV38
STEM Summer Learning with VEX Robotics,0.07,0.14,DEV40
Turnaround with Increased Learning Time,0.02,0.05,DEV46
"Accomplished Teaching, Learning, and Schools (ATLAS)",0.15,1.08,DEV48
PTA Comunitario,-0.02,0.08,DEV52
Rural Math Excellence Partnership (RMEP),-0.95,0.91,DEV58
Middle-Grades Leadership Development (MLD) Project,0.0,0.16,DEV60
Targeted Intensive School Support Program (TISS),-0.07,0.05,DEV62
Engineering STEM Identity (ESI),0.14,0.08,DEV65
Infusing Innovative STEM Practices Into Rigorous Education (INSPIRE),-0.22,0.1,DEV66
Unconditional Education,0.22,0.1,DEV68
Learning by Making,0.18,0.15,DEV77
System for Educator Effectiveness Development (SEED),0.09,0.19,DEV81
PreK - 12 Pathway to Teaching Academies,-0.08,0.09,DEV82
Leading with Learning,0.23,0.19,DEV83
Teach to One: Math (TtO),-0.08,0.06,DEV95
Data-Based Individualization (DBI),-0.1,0.27,DEV96
KIPP,0.18,0.07,SCALE01
Teach for America (TFA),0.05,0.04,SCALE04
PowerTeaching,0.04,0.47,SCALE05
GO College (An Enhanced Version of Talent Search),0.04,0.05,VALID03
enhancing Missouri's Instructional Networked Teaching Strategies (eMINTS),0.13,0.06,VALID12
Alaska Statewide Mentor Project (ASMP) Urban Growth Opportunity (UGO) Program,0.01,0.09,VALID16
Child-Parent Center Education Program,0.0,0.09,VALID17
Accessing Algebra Through Inquiry (a2i),-0.05,0.08,VALID18
New Teacher Center Induction Model,0.16,0.05,VALID21
New Leaders' Aspiring Principals Program,0.09,0.03,VALID23
SunBay Digital Mathematics,-0.05,0.03,VALID32
Building Assets Reducing Risks (BARR),0.01,0.02,VALID34
National Institute for School Leadership's Executive Development Program,0.01,0.02,VALID36
Higher Achievement,0.6,0.73,VALID37
